Region 82 Avg IOU: 0.168720, Class: 0.895894, Obj: 0.511798, No Obj: 0.415848, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.346711, Class: 0.849245, Obj: 0.538675, No Obj: 0.420194, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.110604, Class: 0.890564, Obj: 0.873476, No Obj: 0.421528, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.161648, Class: 0.599103, Obj: 0.435899, No Obj: 0.418223, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.325329, Class: 0.426576, Obj: 0.354272, No Obj: 0.419579, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.147696, Class: 0.075158, Obj: 0.268547, No Obj: 0.418281, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.204125, Class: 0.386849, Obj: 0.876078, No Obj: 0.417745, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.200888, Class: 0.896657, Obj: 0.128176, No Obj: 0.426571, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.050464, Class: 0.303458, Obj: 0.715832, No Obj: 0.420240, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.947509, Class: 0.487719, Obj: 0.414741, No Obj: 0.420182, .5R: 1.000000, .75R: 1.000000,  count: 1
Region 82 Avg IOU: 0.164960, Class: 0.421988, Obj: 0.776658, No Obj: 0.417056, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.176860, Class: 0.225619, Obj: 0.291902, No Obj: 0.420770, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.352834, Class: 0.575313, Obj: 0.375692, No Obj: 0.421687, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.006067, Class: 0.323040, Obj: 0.135103, No Obj: 0.417994, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.285355, Class: 0.580477, Obj: 0.448662, No Obj: 0.420113, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.050686, Class: 0.221619, Obj: 0.259624, No Obj: 0.422364, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.079643, Class: 0.440920, Obj: 0.365804, No Obj: 0.420595, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.031011, Class: 0.875157, Obj: 0.307333, No Obj: 0.420466, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.119620, Class: 0.652103, Obj: 0.553634, No Obj: 0.419770, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.320024, Class: 0.020163, Obj: 0.767615, No Obj: 0.420585, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.311943, Class: 0.123060, Obj: 0.100722, No Obj: 0.421878, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.040334, Class: 0.878456, Obj: 0.572542, No Obj: 0.417554, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.175421, Class: 0.226653, Obj: 0.466201, No Obj: 0.420676, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.490460, Class: 0.426615, Obj: 0.543409, No Obj: 0.415937, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.383206, Class: 0.486318, Obj: 0.536767, No Obj: 0.418765, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.077625, Class: 0.148875, Obj: 0.254890, No Obj: 0.419143, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 94 Avg IOU: 0.133042, Class: 0.408904, Obj: 0.544563, No Obj: 0.494712, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 82 Avg IOU: 0.269670, Class: 0.302208, Obj: 0.211187, No Obj: 0.417113, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.293454, Class: 0.292026, Obj: 0.321093, No Obj: 0.420331, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.527440, Class: 0.140279, Obj: 0.454899, No Obj: 0.419223, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.223728, Class: 0.627335, Obj: 0.411584, No Obj: 0.419839, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.105384, Class: 0.332981, Obj: 0.457203, No Obj: 0.416288, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.659327, Class: 0.608177, Obj: 0.129768, No Obj: 0.419221, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.012913, Class: 0.308048, Obj: 0.362501, No Obj: 0.419289, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 94 Avg IOU: 0.180056, Class: 0.696889, Obj: 0.728728, No Obj: 0.497075, .5R: 0.000000, .75R: 0.000000,  count: 3
Region 106 Avg IOU: 0.169194, Class: 0.420527, Obj: 0.716524, No Obj: 0.414011, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.199919, Class: 0.141728, Obj: 0.399616, No Obj: 0.418307, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.233397, Class: 0.759965, Obj: 0.712728, No Obj: 0.420800, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 94 Avg IOU: 0.175036, Class: 0.659742, Obj: 0.421454, No Obj: 0.497369, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.233704, Class: 0.236417, Obj: 0.402645, No Obj: 0.417526, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.535853, Class: 0.654566, Obj: 0.657052, No Obj: 0.420505, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.044238, Class: 0.494159, Obj: 0.342376, No Obj: 0.418312, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.351621, Class: 0.613896, Obj: 0.651712, No Obj: 0.421147, .5R: 0.000000, .75R: 0.000000,  count: 1
