195: 313.882385, 237.602997 avg, 0.000001 rate, 1.890438 seconds, 3120 images
196: 313.027527, 245.145447 avg, 0.000001 rate, 1.885619 seconds, 3136 images
197: 311.879547, 251.818863 avg, 0.000002 rate, 1.881768 seconds, 3152 images
198: 310.793884, 257.716370 avg, 0.000002 rate, 1.885990 seconds, 3168 images
199: 309.246277, 262.869354 avg, 0.000002 rate, 1.878422 seconds, 3184 images
200: 308.467163, 267.429138 avg, 0.000002 rate, 1.889197 seconds, 3200 images
201: 400.438599, 280.730072 avg, 0.000002 rate, 2.225221 seconds, 3216 images
202: 397.940704, 292.451141 avg, 0.000002 rate, 2.295952 seconds, 3232 images
203: 396.293365, 302.835358 avg, 0.000002 rate, 2.307733 seconds, 3248 images
204: 393.895538, 311.941376 avg, 0.000002 rate, 2.316553 seconds, 3264 images
205: 391.727325, 319.919983 avg, 0.000002 rate, 2.311706 seconds, 3280 images
206: 389.890930, 326.917084 avg, 0.000002 rate, 2.306897 seconds, 3296 images
207: 387.231049, 332.948486 avg, 0.000002 rate, 2.312455 seconds, 3312 images
208: 384.938049, 338.147430 avg, 0.000002 rate, 2.312808 seconds, 3328 images
209: 382.157318, 342.548431 avg, 0.000002 rate, 2.306544 seconds, 3344 images
210: 379.565460, 346.250122 avg, 0.000002 rate, 2.302175 seconds, 3360 images
211: 424.956482, 354.120758 avg, 0.000002 rate, 2.620750 seconds, 3376 images
212: 421.837952, 360.892487 avg, 0.000002 rate, 2.736942 seconds, 3392 images
213: 418.791382, 366.682373 avg, 0.000002 rate, 2.734025 seconds, 3408 images
214: 415.647308, 371.578857 avg, 0.000002 rate, 2.731117 seconds, 3424 images
215: 411.763763, 375.597351 avg, 0.000002 rate, 2.723734 seconds, 3440 images
216: 407.486969, 378.786316 avg, 0.000002 rate, 2.728100 seconds, 3456 images
217: 404.124786, 381.320160 avg, 0.000002 rate, 2.734763 seconds, 3472 images
218: 400.239532, 383.212097 avg, 0.000002 rate, 2.723682 seconds, 3488 images
219: 396.344208, 384.525299 avg, 0.000002 rate, 2.726101 seconds, 3504 images
220: 392.404633, 385.313232 avg, 0.000002 rate, 2.732451 seconds, 3520 images
221: 194.111893, 366.193085 avg, 0.000002 rate, 1.443533 seconds, 3536 images
222: 192.513641, 348.825134 avg, 0.000002 rate, 1.483582 seconds, 3552 images
223: 190.550278, 332.997650 avg, 0.000002 rate, 1.500952 seconds, 3568 images
224: 188.333374, 318.531219 avg, 0.000003 rate, 1.481328 seconds, 3584 images
225: 186.822754, 305.360382 avg, 0.000003 rate, 1.491409 seconds, 3600 images
226: 185.252930, 293.349640 avg, 0.000003 rate, 1.484970 seconds, 3616 images
227: 183.478180, 282.362488 avg, 0.000003 rate, 1.486109 seconds, 3632 images
228: 181.863174, 272.312561 avg, 0.000003 rate, 1.479729 seconds, 3648 images
229: 180.290054, 263.110321 avg, 0.000003 rate, 1.488059 seconds, 3664 images
230: 179.167786, 254.716064 avg, 0.000003 rate, 1.487632 seconds, 3680 images
231: 397.612579, 269.005707 avg, 0.000003 rate, 2.852669 seconds, 3696 images
232: 394.007782, 281.505920 avg, 0.000003 rate, 2.947439 seconds, 3712 images
233: 389.884674, 292.343811 avg, 0.000003 rate, 2.948244 seconds, 3728 images
234: 385.608185, 301.670258 avg, 0.000003 rate, 2.948335 seconds, 3744 images
235: 381.920044, 309.695251 avg, 0.000003 rate, 2.953394 seconds, 3760 images
236: 376.891083, 316.414825 avg, 0.000003 rate, 2.939688 seconds, 3776 images
237: 372.626221, 322.035950 avg, 0.000003 rate, 2.940811 seconds, 3792 images
238: 367.668060, 326.599152 avg, 0.000003 rate, 2.958878 seconds, 3808 images
239: 362.989258, 330.238159 avg, 0.000003 rate, 2.952267 seconds, 3824 images
240: 358.126526, 333.027008 avg, 0.000003 rate, 2.951177 seconds, 3840 images
241: 109.823257, 310.706635 avg, 0.000003 rate, 1.063024 seconds, 3856 images
242: 107.982201, 290.434204 avg, 0.000003 rate, 1.112712 seconds, 3872 images
243: 106.814995, 272.072296 avg, 0.000003 rate, 1.110377 seconds, 3888 images
244: 105.732529, 255.438324 avg, 0.000004 rate, 1.107073 seconds, 3904 images
245: 104.081970, 240.302689 avg, 0.000004 rate, 1.107115 seconds, 3920 images
246: 103.357239, 226.608139 avg, 0.000004 rate, 1.133970 seconds, 3936 images
247: 102.039230, 214.151245 avg, 0.000004 rate, 1.106291 seconds, 3952 images
248: 101.016365, 202.837753 avg, 0.000004 rate, 1.107844 seconds, 3968 images
249: 100.408272, 192.594803 avg, 0.000004 rate, 1.103356 seconds, 3984 images
250: 98.966385, 183.231964 avg, 0.000004 rate, 1.116059 seconds, 4000 images
